delivery_id,delivery_partner,package_type,vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delivery_time_hours,expected_time_hours,delayed,delivery_status,delivery_rating,delivery_cost
100000.0,xpressbees,electronics,three wheeler,two day,south,rainy,74.07,5.57,50.6,38.66,yes,delivered,2,319.41
100001.0,dtdc,cosmetics,three wheeler,standard,south,cold,296.69,40.57,19.75,12.23,yes,delivered,4,1010.44
100002.0,xpressbees,books,bike,two day,east,stormy,135.94,2.65,43.95,28.54,yes,delivered,3,488.03
100003.0,bluedart,cosmetics,three wheeler,same day,north,windy,117.81,14.82,2.0,2.8,no,delivered,5,683.93
100004.0,bluedart,furniture,van,two day,north,stormy,319.31,26.94,26.62,20.81,yes,delivered,2,996.67
100005.0,delhivery,cosmetics,bike,two day,west,foggy,37.76,45.7,35.2,32.42,yes,cancelled,2,392.69
100006.0,shadowfax,cosmetics,three wheeler,two day,central,cold,449.42,20.27,22.45,19.9,yes,delivered,3,1402.3
100007.0,ekart,groceries,ev van,standard,central,cold,266.91,48.57,31.55,42.99,no,delivered,5,963.02
100008.0,bluedart,groceries,truck,standard,south,cold,6.61,36.24,49.93,37.91,yes,delivered,1,305.19
100009.0,dtdc,cosmetics,van,two day,south,stormy,476.98,46.16,63.77,45.07,yes,delivered,4,1616.71
100010.0,dhl,electronics,van,same day,north,windy,245.57,3.93,10.53,9.61,yes,delivered,3,1048.66
100011.0,ekart,cosmetics,cargo bike,express,east,cold,497.6,32.67,13.4,13.89,no,delivered,4,1917.47
100012.0,dhl,cosmetics,bike,same day,north,rainy,38.36,2.05,6.22,5.3,yes,delivered,3,332.87
100013.0,amazon logistics,cosmetics,ev van,standard,south,clear,52.98,21.84,27.9,27.25,yes,delivered,4,314.21
100014.0,ekart,furniture,bike,express,south,rainy,270.46,7.44,13.21,9.3,yes,cancelled,1,925.31
100015.0,dtdc,electronics,bike,express,south,cold,245.39,11.08,16.88,13.22,yes,delivered,3,952.45
100016.0,ekart,food,three wheeler,standard,south,rainy,151.87,48.45,46.82,32.85,yes,delivered,3,772.85
100017.0,shadowfax,electronics,cargo bike,same day,south,clear,299.54,33.92,5.47,4.35,yes,delivered,3,1503.0
100018.0,dtdc,furniture,truck,express,east,rainy,136.48,6.98,29.22,17.62,yes,delivered,3,602.62
100019.0,xpressbees,groceries,cargo bike,express,central,foggy,70.57,17.78,7.87,7.24,yes,delivered,2,500.85
100020.0,dtdc,electronics,three wheeler,two day,north,rainy,135.91,44.54,38.23,38.73,no,delivered,5,709.23
100021.0,dtdc,medical,truck,same day,north,windy,214.67,14.2,3.28,2.04,yes,delivered,3,1072.48
100022.0,ekart,food,bike,same day,north,windy,452.44,27.51,10.61,10.35,yes,delivered,3,2000.0
100023.0,delhivery,furniture,van,express,north,foggy,391.16,44.26,15.23,13.31,yes,cancelled,1,1747.88
100024.0,delhivery,clothing,three wheeler,two day,west,windy,432.71,40.63,25.36,21.61,yes,cancelled,1,1301.71
100025.0,amazon logistics,furniture,truck,express,south,clear,331.72,20.22,9.49,11.01,no,delivered,5,1334.24
100026.0,dtdc,furniture,bike,same day,east,rainy,292.39,49.19,4.72,2.38,yes,returned,1,1578.3
100027.0,dhl,automobile parts,bike,standard,north,stormy,463.16,27.15,65.28,37.9,yes,delivered,2,1341.78
100028.0,xpressbees,automobile parts,cargo bike,two day,west,foggy,204.19,15.13,26.9,16.58,yes,returned,2,673.24
100029.0,delhivery,automobile parts,truck,express,west,stormy,305.3,16.45,22.03,13.95,yes,returned,1,1219.42
100030.0,ecom express,food,three wheeler,two day,north,rainy,338.03,11.62,34.86,19.17,yes,delivered,3,941.87
100031.0,ekart,medical,ev van,express,south,windy,345.37,44.69,27.8,21.49,yes,delivered,3,1541.72
100032.0,amazon logistics,electronics,cargo bike,express,north,cold,71.0,23.5,16.06,15.56,yes,cancelled,2,504.87
100033.0,dtdc,books,cargo bike,standard,south,windy,431.44,22.78,46.86,39.06,yes,cancelled,2,1325.26
100034.0,ecom express,medical,bike,two day,south,foggy,171.24,44.7,14.83,14.9,no,delivered,4,746.48
100035.0,delhivery,cosmetics,ev van,standard,central,windy,14.67,44.09,34.1,32.72,yes,delivered,2,385.1
100036.0,ekart,food,three wheeler,express,west,rainy,140.1,24.54,21.11,13.0,yes,cancelled,1,785.04
100037.0,dtdc,electronics,ev van,same day,north,windy,217.16,43.41,3.25,3.82,no,delivered,4,1387.87
100038.0,ecom express,books,truck,same day,west,clear,375.77,3.08,11.12,11.52,no,delivered,3,1502.27
100039.0,delhivery,clothing,van,express,west,windy,61.62,47.41,12.38,14.37,no,delivered,5,640.68
100040.0,shadowfax,automobile parts,bike,same day,east,stormy,340.29,47.93,11.87,5.97,yes,cancelled,1,1891.35
100041.0,delhivery,furniture,cargo bike,standard,east,clear,255.45,17.39,50.13,42.58,yes,returned,2,859.8
100042.0,ekart,clothing,three wheeler,two day,central,stormy,388.45,23.51,63.1,41.73,yes,delivered,2,1248.22
100043.0,ekart,furniture,bike,standard,east,rainy,246.34,18.06,41.55,21.3,yes,delivered,1,764.45
100044.0,ekart,medical,cargo bike,express,west,windy,357.36,22.68,5.74,6.31,no,delivered,5,1347.26
100045.0,dtdc,food,truck,standard,central,foggy,179.15,22.96,31.16,23.04,yes,delivered,4,687.88
100046.0,dhl,cosmetics,three wheeler,standard,east,windy,296.85,38.13,59.9,33.48,yes,delivered,2,1075.74
100047.0,shadowfax,automobile parts,bike,same day,central,foggy,350.22,6.75,19.21,10.68,yes,delivered,1,1647.5
100048.0,amazon logistics,groceries,bike,standard,west,clear,290.63,34.48,31.25,17.46,yes,delivered,3,982.23
100049.0,dhl,food,ev van,standard,west,foggy,430.78,49.51,32.44,22.99,yes,returned,1,1460.26
100050.0,ecom express,groceries,van,express,south,stormy,42.16,0.63,19.25,14.11,yes,delivered,2,270.46
100051.0,ecom express,cosmetics,ev van,same day,central,rainy,325.58,45.47,12.11,10.27,yes,delivered,2,1583.33
100052.0,ecom express,books,truck,standard,west,clear,301.03,44.53,31.06,38.44,no,delivered,5,1093.96
100053.0,delhivery,automobile parts,cargo bike,same day,south,cold,261.89,22.39,6.51,4.78,yes,cancelled,1,1292.22
100054.0,ekart,furniture,truck,same day,south,foggy,208.76,25.03,11.39,8.63,yes,delivered,2,1034.5
100055.0,ekart,food,bike,standard,west,clear,97.85,18.41,43.46,39.23,yes,delivered,3,474.03
100056.0,amazon logistics,medical,bike,same day,central,rainy,356.34,15.88,3.18,2.14,yes,returned,1,1604.85
100057.0,ecom express,food,three wheeler,two day,west,cold,490.22,12.56,52.34,31.85,yes,cancelled,2,1464.06
100058.0,ekart,furniture,cargo bike,two day,north,foggy,364.4,41.96,51.73,32.88,yes,delivered,2,1284.98
100059.0,ekart,medical,truck,express,south,stormy,194.57,42.87,19.22,13.39,yes,delivered,4,1059.5
